,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
24,0610082.003,"[[-73.982473, 40.748432], [-73.984076, 40.749102], [-73.983621, 40.749724], [-73.982024, 40.74905], [-73.980404, 40.748366], [-73.980853, 40.747751], [-73.982473, 40.748432]]",1126,         24393,1153,82,1126,572,704,89,1126,26,704,639
25,0610084.001,"[[-73.981822, 40.752196999999995], [-73.98504299999999, 40.753554], [-73.984118, 40.754842], [-73.980888, 40.753481], [-73.981822, 40.752196999999995]]",1,         50755,1,1,1,0,0,0,1,0,0,0
26,0610086.033,"[[-73.963026, 40.753406999999996], [-73.964347, 40.753935], [-73.965696, 40.754504999999995], [-73.96524, 40.75513], [-73.96252199999999, 40.753968], [-73.963026, 40.753406999999996]]",896,         20279,911,7,896,391,548,46,896,13,548,134
27,0610090.004,"[[-73.966616, 40.753243999999995], [-73.967012, 40.752597], [-73.969431, 40.753623999999995], [-73.96897799999999, 40.754251], [-73.966616, 40.753243999999995]]",1401,         18328,1420,47,1401,831,944,129,1401,17,944,499
28,0610090.006,"[[-73.97213599999999, 40.753943], [-73.96991, 40.752964999999996], [-73.97034099999999, 40.752379], [-73.972588, 40.753318], [-73.97213599999999, 40.753943]]",1266,         16668,1308,22,1266,595,756,87,1266,40,756,394
29,0610093.005,"[[-74.003236, 40.748974], [-74.000399, 40.747766999999996], [-74.00084799999999, 40.747147], [-74.00368399999999, 40.748355], [-74.003236, 40.748974]]",892,         21561,918,33,892,615,565,133,892,25,565,421
30,0610095.001,"[[-73.993359, 40.747234999999996], [-73.992463, 40.748469], [-73.989617, 40.747277], [-73.990518, 40.746038], [-73.991419, 40.744802], [-73.99426199999999, 40.746004], [-73.993359, 40.747234999999996]]",1234,         86080,1281,39,1234,660,647,169,1234,45,647,438
31,0610097.001,"[[-73.99903499999999, 40.749638], [-73.998594, 40.750240999999995], [-73.995749, 40.749052], [-73.996196, 40.748439999999995], [-73.99709899999999, 40.747205], [-73.997918, 40.747549], [-73.997332, 40.748363], [-73.997226, 40.748788], [-73.996853, 40.748968], [-73.99732999999999, 40.74934], [-73.99903499999999, 40.749638]]",2311,         37956,2407,392,2311,770,1115,75,2311,91,1115,239
32,0610098.003,"[[-73.968065, 40.755503999999995], [-73.96852, 40.754877], [-73.96897799999999, 40.754251], [-73.971217, 40.755193], [-73.97031299999999, 40.756453], [-73.968065, 40.755503999999995]]",1059,         34481,1078,17,1059,676,631,136,1059,18,631,391
33,0610137.006,"[[-73.98052799999999, 40.764844], [-73.97768599999999, 40.763645], [-73.978601, 40.762395999999995], [-73.981434, 40.763594], [-73.98052799999999, 40.764844]]",1235,43504,1265,27,1235,596,726,99,1235,30,726,542
34,0610139.003,"[[-73.989964, 40.767188], [-73.989505, 40.767815999999996], [-73.989051, 40.76844], [-73.986204, 40.767243], [-73.986659, 40.766616], [-73.987122, 40.765989], [-73.989964, 40.767188]]",1352,43718,1413,91,1352,858,860,168,1352,51,860,734
35,0610139.006,"[[-73.983367, 40.766045], [-73.986204, 40.767243], [-73.985716, 40.767918], [-73.982877, 40.766715], [-73.983367, 40.766045]]",1146,23387,1165,19,1146,633,770,83,1146,19,770,423
36,0610145.002,"[[-73.985218, 40.768595], [-73.988063, 40.769791], [-73.98761499999999, 40.770415], [-73.984769, 40.769217999999995], [-73.985218, 40.768595]]",1238,21665,1276,118,1238,502,688,84,1238,32,688,686
37,0610149.004,"[[-73.98303299999999, 40.771761999999995], [-73.98259, 40.772345], [-73.979652, 40.771156], [-73.98011199999999, 40.770528999999996], [-73.982159, 40.771394], [-73.98303299999999, 40.771761999999995]]",1129,22163,1154,29,1129,490,690,53,1129,24,690,542
38,0610151.002,"[[-73.988626, 40.774116], [-73.985792, 40.772904], [-73.986238, 40.772299], [-73.986695, 40.771668], [-73.98953999999999, 40.772866], [-73.988626, 40.774116]]",1940,43272,2051,897,1940,282,801,45,1940,101,801,800
39,0610100.002,"[[-73.97282, 40.75587], [-73.971451, 40.757749], [-73.969625, 40.760251], [-73.968024, 40.759578], [-73.968936, 40.75833], [-73.969394, 40.7577], [-73.969848, 40.757076], [-73.97031299999999, 40.756453], [-73.971217, 40.755193], [-73.97282, 40.75587]]",1398,         85919,1442,76,1398,831,903,118,1398,39,903,769
