,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
114,0470477.002,"[[-73.940231, 40.717090999999996], [-73.94012, 40.716359], [-73.940022, 40.715813], [-73.93901699999999, 40.716065], [-73.938696, 40.715323], [-73.938906, 40.715334999999996], [-73.94121799999999, 40.714707], [-73.942066, 40.714729], [-73.94268699999999, 40.714692], [-73.942701, 40.714816], [-73.94293499999999, 40.716096], [-73.94317, 40.717517], [-73.943285, 40.718226], [-73.940669, 40.718447999999995], [-73.940439, 40.718433], [-73.94033, 40.717787], [-73.940231, 40.717090999999996]]",2050,        103393,2138,57,2050,1236,920,422,2050,82,920,677
115,0470481.001,"[[-73.935288, 40.714456999999996], [-73.93495899999999, 40.713722], [-73.93734599999999, 40.713816], [-73.937294, 40.714537], [-73.94121799999999, 40.714707], [-73.938906, 40.715334999999996], [-73.938696, 40.715323], [-73.935613, 40.715191], [-73.935288, 40.714456999999996]]",678,         46413,712,50,678,307,281,114,678,30,281,213
116,0470481.002,"[[-73.940128, 40.712863999999996], [-73.938784, 40.713190999999995], [-73.937383, 40.713166], [-73.93734599999999, 40.713816], [-73.93495899999999, 40.713722], [-73.93480199999999, 40.713373], [-73.93846599999999, 40.712489], [-73.940688, 40.711962], [-73.941041, 40.712666], [-73.940128, 40.712863999999996]]",667,         39916,698,19,667,306,353,81,667,29,353,328
117,0470485.001,"[[-73.939037, 40.706264999999995], [-73.938705, 40.707015], [-73.93852799999999, 40.707782], [-73.938864, 40.708495], [-73.93995799999999, 40.70839], [-73.94007599999999, 40.709102], [-73.940314, 40.710522], [-73.940423, 40.711217999999995], [-73.940477, 40.711563], [-73.940688, 40.711962], [-73.93846599999999, 40.712489], [-73.93480199999999, 40.713373], [-73.932997, 40.709317], [-73.93229699999999, 40.707749], [-73.933919, 40.707487], [-73.933594, 40.706371], [-73.939432, 40.705256], [-73.939598, 40.70621], [-73.939037, 40.706264999999995]]",1006,        407039,1048,99,1006,542,347,178,1006,41,347,296
118,0470485.002,"[[-73.933201, 40.704971], [-73.932698, 40.703171], [-73.933523, 40.702849], [-73.933951, 40.702673999999995], [-73.936982, 40.70191], [-73.93731799999999, 40.702714], [-73.937648, 40.703372], [-73.938599, 40.704066], [-73.939127, 40.704566], [-73.939313, 40.704814999999996], [-73.939432, 40.705256], [-73.933594, 40.706371], [-73.933201, 40.704971]]",1504,        173913,1586,104,1504,924,560,317,1504,78,560,510
119,0470489.001,"[[-73.940893, 40.703914], [-73.94103, 40.704637], [-73.939313, 40.704814999999996], [-73.939127, 40.704566], [-73.938599, 40.704066], [-73.939236, 40.703216999999995], [-73.938857, 40.703078999999995], [-73.93939499999999, 40.702825999999995], [-73.93983399999999, 40.702957999999995], [-73.940726, 40.702901], [-73.94078, 40.703223], [-73.940893, 40.703914]]",1213,         32960,1256,587,1213,133,426,22,1213,40,426,424
120,0470489.002,"[[-73.938599, 40.704066], [-73.937648, 40.703372], [-73.93731799999999, 40.702714], [-73.936982, 40.70191], [-73.93763, 40.701738999999996], [-73.937904, 40.70239], [-73.938857, 40.703078999999995], [-73.939236, 40.703216999999995], [-73.938599, 40.704066]]",861,         19155,914,438,861,95,296,19,861,43,296,294
121,0470491.001,"[[-73.94866499999999, 40.704564999999995], [-73.949254, 40.704896], [-73.94983599999999, 40.705228999999996], [-73.947981, 40.705442], [-73.946265, 40.705604], [-73.945855, 40.702987], [-73.947052, 40.703663999999996], [-73.94866499999999, 40.704564999999995]]",1921,         45120,1973,502,1921,307,790,41,1921,48,790,688
122,0470491.002,"[[-73.94103, 40.704637], [-73.940893, 40.703914], [-73.94078, 40.703223], [-73.940726, 40.702901], [-73.94042, 40.701077], [-73.941931, 40.700725], [-73.942201, 40.700891], [-73.942267, 40.701637], [-73.942495, 40.703053], [-73.942734, 40.704473], [-73.94103, 40.704637]]",660,         60290,708,72,660,281,266,92,660,39,266,259
123,0470491.003,"[[-73.94445, 40.704308999999995], [-73.94456699999999, 40.705020999999995], [-73.94284999999999, 40.705182], [-73.942734, 40.704473], [-73.942495, 40.703053], [-73.942267, 40.701637], [-73.942201, 40.700891], [-73.94306399999999, 40.701423999999996], [-73.94400499999999, 40.701961999999995], [-73.944105, 40.702186], [-73.944217, 40.702895], [-73.94445, 40.704308999999995]]",2025,         59746,2151,384,2025,434,741,139,2025,113,741,720
