,lat,lng,price,htype,comm
246,41.929016,-87.672646,227500.0,Condo,DePaul
247,41.97637,-87.67366,240000.0,Condo,Edgewater
248,41.920513,-87.68522,310000.0,Condo,Bucktown
249,41.891075,-87.638535,559000.0,Condo,Near North Side
250,41.962574,-87.67794,562500.0,Condo,Ravenswood
251,41.89831,-87.66819,520000.0,Condo,Goose Island
252,41.881794,-87.6609,255000.0,Condo,
253,41.996143,-87.66136,195000.0,Condo,Edgewater
254,41.87113,-87.71932,23000.0,Condo,East Garfield Park
255,41.918087,-87.67449,426000.0,Condo,Bucktown
256,41.908245,-87.62974,278000.0,Condo,Near North Side
257,41.951447,-87.65166,208000.0,Condo,
258,41.98987,-87.79393,120000.0,Condo,Norwood Park
259,41.89152,-87.61278,572500.0,Condo,Near North Side
260,41.979923,-87.80804,140000.0,Condo,Norwood Park
261,41.692303,-87.67269,30000.0,Condo,Morgan Park
262,41.715897,-87.57281,30000.0,Townhouse,Jeffrey Manor
263,41.89395,-87.65025,435000.0,Townhouse,Goose Island
264,41.887157,-87.64463,460000.0,Condo,
265,41.887695,-87.643616,168000.0,Condo,
266,41.943127,-87.654564,437000.0,Condo,
267,41.985806,-87.65773,40000.0,Condo,Edgewater
268,41.922646,-87.71239,232500.0,Condo,Logan Square
269,41.988735,-87.65469,159000.0,Condo,
270,41.85538,-87.61965,607000.0,Townhouse,Near South Side
271,41.909126,-87.649895,342000.0,Condo,Near North Side
272,41.72041,-87.56817,70000.0,Townhouse,Jeffrey Manor
273,41.931,-87.66626,418000.0,Condo,DePaul
274,41.873447,-87.66553,510000.0,Townhouse,University Village / Little Italy
275,41.979515,-87.83998,58000.0,Condo,O'Hare
276,41.914474,-87.681854,676000.0,Townhouse,Wicker Park
277,41.8999,-87.66952,526000.0,Condo,Wicker Park
278,41.898006,-87.657845,334000.0,Condo,Goose Island
279,42.018448,-87.668495,209000.0,Condo,Rogers Park
280,41.96445,-87.67293,472500.0,Condo,Ravenswood
281,41.974358,-87.69247,340000.0,Condo,Lincoln Square
282,41.91374,-87.63591,415500.0,Condo,Lincoln Park
283,41.896416,-87.62385,156000.0,Condo,Near North Side
284,41.929047,-87.71126,225000.0,Condo,Logan Square
285,42.00126,-87.81429,80000.0,Condo,Edison Park
286,41.915527,-87.64202,1250000.0,Condo,Lincoln Park
287,41.93556,-87.65733,257000.0,Condo,
288,41.92959,-87.65768,330000.0,Condo,DePaul
289,41.88009,-87.654,765000.0,Condo,
290,41.918804,-87.63699,345000.0,Condo,Lincoln Park
291,41.96824,-87.70306,281000.0,Condo,Albany Park
292,41.902214,-87.62593,219000.0,Condo,Near North Side
293,41.87953,-87.653786,280000.0,Condo,
294,41.94076,-87.64977,269500.0,Condo,
295,41.975636,-87.65237,117000.0,Condo,Uptown
296,41.937477,-87.64548,265000.0,Condo,
297,41.91233,-87.685524,430000.0,Condo,West Town
298,41.81794,-87.613464,370000.0,Townhouse,Grand Boulevard
299,41.955734,-87.72312,135500.0,Condo,Irving Park
300,41.921013,-87.68386,469000.0,Townhouse,Bucktown
301,41.864117,-87.64592,193500.0,Condo,University Village / Little Italy
302,41.965004,-87.66422,199000.0,Condo,Uptown
303,41.90137,-87.62468,140000.0,Condo,Near North Side
304,41.906353,-87.627014,475000.0,Condo,Near North Side
305,41.840225,-87.62254,75000.0,Condo,Douglas
306,41.98788,-87.66803,355000.0,Condo,Edgewater
307,41.881065,-87.657425,316000.0,Condo,
308,41.806602,-87.58658,65000.0,Condo,Kenwood
309,41.995106,-87.660645,75500.0,Condo,Edgewater
310,41.962894,-87.67646,225000.0,Condo,Ravenswood
311,41.909126,-87.649895,541000.0,Condo,Near North Side
312,41.975784,-87.67843,238000.0,Condo,Lincoln Square
313,41.889584,-87.63306,269500.0,Condo,Near North Side
314,41.89392,-87.65328,570500.0,Townhouse,Goose Island
315,41.877064,-87.6504,285000.0,Condo,
316,41.893677,-87.641045,495000.0,Condo,Near North Side
317,41.9551,-87.64804,312000.0,Condo,Uptown
318,41.91221,-87.694214,417500.0,Condo,West Town
319,41.93186,-87.79031,160000.0,Condo,Belmont Central
320,42.006645,-87.68315,248000.0,Condo,West Rogers Park
321,41.946087,-87.80718,240000.0,Condo,Dunning
322,41.996143,-87.666954,230000.0,Condo,Edgewater
323,41.909073,-87.64066,570000.0,Townhouse,Near North Side
324,41.889217,-87.616486,1500000.0,Condo,Near North Side
325,41.905483,-87.66711,350000.0,Condo,Wicker Park
326,41.996807,-87.65486,97500.0,Condo,Edgewater
327,41.914516,-87.68339,417000.0,Condo,Bucktown
328,41.95571,-87.653534,288000.0,Condo,Uptown
329,41.89781,-87.634926,780000.0,Condo,Near North Side
330,41.931946,-87.64572,315000.0,Condo,Lincoln Park
331,41.891457,-87.61894,345000.0,Condo,Near North Side
332,41.901066,-87.66335,310000.0,Condo,Goose Island
333,41.877113,-87.64355,265000.0,Condo,
334,41.93873,-87.65238,580000.0,Condo,
335,41.907944,-87.63187,170000.0,Condo,Near North Side
336,41.984325,-87.726395,161450.0,Condo,North Park
337,41.917706,-87.65059,350000.0,Condo,DePaul
338,41.90119,-87.675095,552500.0,Condo,Wicker Park
339,41.967243,-87.66976,118000.0,Condo,Ravenswood
340,42.008366,-87.69154,84500.0,Condo,West Rogers Park
341,41.92822,-87.70851,685000.0,Condo,Logan Square
342,41.904392,-87.637794,395000.0,Condo,Near North Side
343,41.861637,-87.62618,328000.0,Condo,Near South Side
344,41.893684,-87.621284,210000.0,Condo,Near North Side
345,41.956745,-87.65241,380000.0,Condo,Uptown
346,42.00341,-87.66596,168000.0,Condo,Rogers Park
347,41.90887,-87.640656,560000.0,Townhouse,Near North Side
348,41.90121,-87.62804,243000.0,Condo,Near North Side
349,41.971493,-87.67575,217500.0,Condo,Ravenswood
350,41.991608,-87.65569,88000.0,Condo,Edgewater
351,41.918587,-87.67313,425000.0,Condo,Bucktown
352,41.938744,-87.651726,695000.0,Condo,
353,41.873756,-87.63329,190000.0,Condo,Loop
354,41.914658,-87.69429,219000.0,Condo,Bucktown
355,41.910324,-87.67196,437500.0,Condo,Wicker Park
356,41.90279,-87.68028,497000.0,Condo,Wicker Park
357,41.8011,-87.60021,197500.0,Condo,Hyde Park
358,41.88498,-87.70104,45000.0,Townhouse,East Garfield Park
359,41.91265,-87.66987,285000.0,Condo,Wicker Park
360,41.891296,-87.665695,438000.0,Condo,Goose Island
361,41.876225,-87.65125,290000.0,Condo,
362,41.979313,-87.689964,95000.0,Condo,Lincoln Square
363,41.89856,-87.676094,540000.0,Condo,Ukranian Village
364,41.85891,-87.6235,180000.0,Condo,Near South Side
365,41.952923,-87.655785,160000.0,Condo,
366,41.937393,-87.653824,355000.0,Condo,
367,41.859264,-87.62445,151000.0,Condo,Near South Side
368,41.944904,-87.64473,280000.0,Condo,
