,gNum,comNum,gAllCrimePer,gHOMIper,gBURGper,gNARCper,gPop,gPopDen,gPrice,gPriceNum,gSchScore,gSchScoreNum,gSqDistFromCBD,Unnamed: 0,comName_cen2010,comPop2010,medInc2010,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010,comPop2014est,popDen2014est
483,1130.0,46.0,4314.0,0.0,507.0,279.0,3939.8133647919612,9235.194855868853,0.0,0.0,36.67,1.0,11.546539421248863,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
484,1131.0,46.0,4898.0,25.0,304.0,380.0,3939.8133647919612,9235.194855868853,0.0,0.0,34.0,1.0,10.938294835267932,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
485,805.0,52.0,37599.0,194.0,3258.0,3787.0,3590.4495788356558,8416.261992773469,0.0,0.0,48.67,1.0,13.857550446219848,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
486,845.0,52.0,47403.0,167.0,3425.0,6350.0,3590.4495788356558,8416.261992773469,0.0,0.0,40.33,2.0,13.861303913526607,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
487,963.0,52.0,529.0,0.0,0.0,83.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,15.375717605364025,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
488,1085.0,52.0,139.0,0.0,0.0,0.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,14.477629835183205,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
489,1126.0,52.0,9023.0,27.0,445.0,696.0,3590.4495788356558,8416.261992773469,42500.0,1.0,0.0,0.0,14.03940395991572,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
490,1127.0,52.0,20220.0,0.0,612.0,2478.0,3590.4495788356558,8416.261992773469,0.0,0.0,44.0,2.0,13.408867006362389,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
491,1128.0,52.0,13396.0,0.0,640.0,1866.0,3590.4495788356558,8416.261992773469,0.0,0.0,18.33,1.0,12.782733778499303,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
492,1129.0,52.0,8188.0,0.0,584.0,835.0,3590.4495788356558,8416.261992773469,0.0,0.0,34.150370370370375,0.0,12.161684460743624,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
493,1166.0,52.0,3537.0,0.0,334.0,194.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,14.269716787771529,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
494,1167.0,52.0,6043.0,0.0,640.0,445.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,13.649823004267315,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
495,1168.0,52.0,1141.0,0.0,83.0,139.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,13.035268946419878,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
496,1169.0,52.0,83.0,0.0,0.0,27.0,3590.4495788356558,8416.261992773469,0.0,0.0,0.0,0.0,12.426846847700517,51,East Side,23042,41196,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333331,37.833333333333336,170.83333333333334,2116.5,25130.0,8416.261992773469
497,806.0,51.0,137936.0,159.0,8621.0,11973.0,626.3741803089364,1468.2643750419418,0.0,0.0,48.5,2.0,13.18396137741283,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
498,885.0,51.0,95629.0,319.0,5747.0,7503.0,626.3741803089364,1468.2643750419418,93333.0,6.0,0.0,0.0,13.893947494385978,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
499,925.0,51.0,5108.0,0.0,159.0,638.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,13.955278454776424,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
500,967.0,51.0,3831.0,0.0,0.0,159.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,12.717617291777888,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
501,1003.0,51.0,798.0,0.0,0.0,0.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,15.483045230621487,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
502,1004.0,51.0,1117.0,0.0,159.0,0.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,14.82209120262569,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
503,1005.0,51.0,159.0,0.0,0.0,0.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,14.162337492006593,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
504,1006.0,51.0,319.0,0.0,159.0,0.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,13.503960029157405,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
505,1007.0,51.0,10217.0,0.0,0.0,319.0,626.3741803089364,1468.2643750419418,0.0,0.0,0.0,0.0,12.847170401053202,50,South Deering,15109,38594,South Deering,39.0,49.0,44.33333333333334,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.33333333333326,194.16666666666663,90.83333333333331,196.16666666666663,2619.1666666666665,16000.0,1468.2643750419418
